 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text=Der har været perioder, hvor jeg troede, det var slut, men vi er hele tiden kommet igen, og lige nu føler jeg, at vi er på toppen.
1-1	Der	der	US:----:--:----	
10-13	toppen	_	_	
10-14	,	_	_	
10-15	men	_	_	
10-16	er	_	_	
10-17	så	_	_	
10-18	også	_	_	
10-19	garanteret	_	_	
10-20	et	_	_	
10-21	ophold	_	_	
10-22	med	_	_	
10-23	fantastisk	_	_	
10-24	udsigt	_	_	
10-25	over	_	_	
10-26	Vasaparken	_	_	
10-27	og	_	_	
10-28	Mälaren	_	_	
10-29	,	_	_	
10-30	Sveriges	_	_	
10-31	tredjestørste	_	_	
10-32	sø	_	_	
10-33	.	_	_	

#id=11
#text= I hvert fald har han brugt det meste af sit snart 60 år lange liv i toppen af adskillige institutioner og udvalg inden for sundhedssektoren.
11-1	I	_	_	
11-2	hvert	_	_	
11-3	fald	_	_	
11-4	har	_	_	
11-5	han	_	_	
11-6	brugt	_	_	
11-7	det	_	_	
11-8	meste	_	_	
11-9	af	_	_	
11-10	sit	_	_	
11-11	snart	_	_	
11-12	60	_	_	
11-13	år	_	_	
11-14	lange	_	_	
11-15	liv	_	_	
11-16	i	_	_	
11-17	toppen	_	_	
11-18	af	_	_	
11-19	adskillige	_	_	
11-20	institutioner	_	_	
11-21	og	_	_	
11-22	udvalg	_	_	
11-23	inden	_	_	
11-24	for	_	_	
11-25	sundhedssektoren	_	_	
11-26	.	_	_	

#id=12
#text=At sidstnævnte står i toppen af plakaten efter at have givet hele to halvsløje koncerter i Danmark for nylig i en karriere, der entydigt synes på vej nedad, er en stærk indikation af, at programmet virker gennemsnitligt.
12-1	At	_	_	
12-2	sidstnævnte	_	_	
12-3	står	_	_	
12-4	i	_	_	
12-5	toppen	_	_	
12-6	af	_	_	
12-7	plakaten	_	_	
12-8	efter	_	_	
12-9	at	_	_	
12-10	have	_	_	
12-11	givet	_	_	
12-12	hele	_	_	
12-13	to	_	_	
12-14	halvsløje	_	_	
12-15	koncerter	_	_	
12-16	i	_	_	
12-17	Danmark	_	_	
12-18	for	_	_	
12-19	nylig	_	_	
12-20	i	_	_	
12-21	en	_	_	
12-22	karriere	_	_	
12-23	,	_	_	
12-24	der	_	_	
12-25	entydigt	_	_	
12-26	synes	_	_	
12-27	på	_	_	
12-28	vej	_	_	
12-29	nedad	_	_	
12-30	,	_	_	
12-31	er	_	_	
12-32	en	_	_	
12-33	stærk	_	_	
12-34	indikation	_	_	
12-35	af	_	_	
12-36	,	_	_	
12-37	at	_	_	
12-38	programmet	_	_	
12-39	virker	_	_	
12-40	gennemsnitligt	_	_	
12-41	.	_	_	

#id=13
#text=Målmand Lasse Sømmergaard var på toppen og klarede et straffe fra Morten Nordstrand, men kunne ikke hindre Niclas Jensen i at sparke riposten ind til 1-0.
13-1	Målmand	_	_	
13-2	Lasse	_	_	
13-3	Sømmergaard	_	_	
13-4	var	_	_	
13-5	på	_	_	
13-6	toppen	_	_	
13-7	og	_	_	
13-8	klarede	_	_	
13-9	et	_	_	
13-10	straffe	_	_	
13-11	fra	_	_	
13-12	Morten	_	_	
13-13	Nordstrand	_	_	
13-14	,	_	_	
13-15	men	_	_	
13-16	kunne	_	_	
13-17	ikke	_	_	
13-18	hindre	_	_	
13-19	Niclas	_	_	
13-20	Jensen	_	_	
13-21	i	_	_	
13-22	at	_	_	
13-23	sparke	_	_	
13-24	riposten	_	_	
13-25	ind	_	_	
13-26	til	_	_	
13-27	1	_	_	
13-28	-	_	_	
13-29	0	_	_	
13-30	.	_	_	

#id=14
#text=Hvis ikke Stephan Andersen havde været på toppen mellem stængerne hos Brøndby, havde hjemmeholdet næppe fået uafgjort mod et gæstemandskab, som træner Magnus Pehrsson råbte og dirigerede fremad ude fra sidelinjen, hvor Kent Nielsen så bekymret ud over Brøndbys svage opdækning.
14-1	Hvis	_	_	
14-2	ikke	_	_	
14-3	Stephan	_	_	
14-4	Andersen	_	_	
14-5	havde	_	_	
14-6	været	_	_	
14-7	på	_	_	
14-8	toppen	_	_	
14-9	mellem	_	_	
14-10	stængerne	_	_	
14-11	hos	_	_	
14-12	Brøndby	_	_	
14-13	,	_	_	
14-14	havde	_	_	
14-15	hjemmeholdet	_	_	
14-16	næppe	_	_	
14-17	fået	_	_	
14-18	uafgjort	_	_	
14-19	mod	_	_	
14-20	et	_	_	
14-21	gæstemandskab	_	_	
14-22	,	_	_	
14-23	som	_	_	
14-24	træner	_	_	
14-25	Magnus	_	_	
14-26	Pehrsson	_	_	
14-27	råbte	_	_	
14-28	og	_	_	
14-29	dirigerede	_	_	
14-30	fremad	_	_	
14-31	ude	_	_	
14-32	fra	_	_	
14-33	sidelinjen	_	_	
14-34	,	_	_	
14-35	hvor	_	_	
14-36	Kent	_	_	
14-37	Nielsen	_	_	
14-38	så	_	_	
14-39	bekymret	_	_	
14-40	ud	_	_	
14-41	over	_	_	
14-42	Brøndbys	_	_	
14-43	svage	_	_	
14-44	opdækning	_	_	
14-45	.	_	_	

#id=15
#text=Vi har været vant til altid at ligge i toppen.
15-1	Vi	_	_	
15-2	har	_	_	
15-3	været	_	_	
15-4	vant	_	_	
15-5	til	_	_	
15-6	altid	_	_	
15-7	at	_	_	
15-8	ligge	_	_	
15-9	i	_	_	
15-10	toppen	_	_	
15-11	.	_	_	

#id=16
#text= færgekapaciteten og afgangshyppigheden var i top.
16-1	færgekapaciteten	_	_	
16-2	og	_	_	
16-3	afgangshyppigheden	_	_	
16-4	var	_	_	
16-5	i	_	_	
16-6	top	_	_	
16-7	.	_	_	

#id=17
#text=Pigerne skifter moonboots og hættetrøjer ud med stramme toppe og 12 centimeter høje stiletter.
17-1	Pigerne	_	_	
17-2	skifter	_	_	
17-3	moonboots	_	_	
17-4	og	_	_	
17-5	hættetrøjer	_	_	
17-6	ud	_	_	
17-7	med	_	_	
17-8	stramme	_	_	
17-9	toppe	_	_	
17-10	og	_	_	
17-11	12	_	_	
17-12	centimeter	_	_	
17-13	høje	_	_	
17-14	stiletter	_	_	
17-15	.	_	_	

#id=18
#text= Og det er kun toppen af rækkehuset.
18-1	Og	_	_	
18-2	det	_	_	
18-3	er	_	_	
18-4	kun	_	_	
18-5	toppen	_	_	
18-6	af	_	_	
18-7	rækkehuset	_	_	
18-8	.	_	_	

#id=19
#text= I kælderen skærer han totempæle og figurer i træ, og i toppen er gymnastiksalen.
19-1	I	_	_	
19-2	kælderen	_	_	
19-3	skærer	_	_	
19-4	han	_	_	
19-5	totempæle	_	_	
19-6	og	og	CC:----:--:----	
19-7	figurer	_	_	
19-8	i	_	_	
19-9	træ	_	_	
19-10	,	_	_	
19-11	og	_	_	
19-12	i	_	_	
19-13	toppen	_	_	
19-14	er	_	_	
19-15	gymnastiksalen	_	_	
19-16	.	_	_	

#id=20
#text= Serveret med sprødt, papirtyndt rugbrød, toppe af en meget fin selleripuré og små blade af krydderurter, fremdeles blomsterkarse.
20-1	Serveret	_	_	
20-2	med	_	_	
20-3	sprødt	_	_	
20-4	,	_	_	
20-5	papirtyndt	_	_	
20-6	rugbrød	_	_	
20-7	,	_	_	
20-8	toppe	_	_	
20-9	af	_	_	
20-10	en	_	_	
20-11	meget	_	_	
20-12	fin	_	_	
20-13	selleripuré	_	_	
20-14	og	_	_	
20-15	små	_	_	
20-16	blade	_	_	
20-17	af	_	_	
20-18	krydderurter	_	_	
20-19	,	_	_	
20-20	fremdeles	_	_	
20-21	blomsterkarse	_	_	
20-22	.	_	_	

#id=21
#text=Dette giver et billede af omfanget af initiativerne samt de ressourcer og det engagement, som samfundets top er villig til at lægge i spørgsmålet", siger Marit Hoel, som mener, at de andre nordiske lande - modsat Danmark - ser engagementet som en central del af innovationen og fornyelsen i samfundet.
21-1	Dette	_	_	
21-2	giver	_	_	
21-3	et	_	_	
21-4	billede	_	_	
21-5	af	_	_	
21-6	omfanget	_	_	
21-7	af	_	_	
21-8	initiativerne	_	_	
21-9	samt	_	_	
21-10	de	_	_	
21-11	ressourcer	_	_	
21-12	og	_	_	
21-13	det	_	_	
21-14	engagement	_	_	
21-15	,	_	_	
21-16	som	_	_	
21-17	samfundets	_	_	
21-18	top	_	_	
21-19	er	_	_	
21-20	villig	_	_	
21-21	til	_	_	
21-22	at	_	_	
21-23	lægge	_	_	
21-24	i	_	_	
21-25	spørgsmålet	_	_	
21-26	"	_	_	
21-27	,	_	_	
21-28	siger	_	_	
21-29	Marit	_	_	
21-30	Hoel	_	_	
21-31	,	_	_	
21-32	som	_	_	
21-33	mener	_	_	
21-34	,	_	_	
21-35	at	_	_	
21-36	de	_	_	
21-37	andre	_	_	
21-38	nordiske	_	_	
21-39	lande	_	_	
21-40	-	_	_	
21-41	modsat	_	_	
21-42	Danmark	_	_	
21-43	-	_	_	
21-44	ser	_	_	
21-45	engagementet	_	_	
21-46	som	_	_	
21-47	en	_	_	
21-48	central	_	_	
21-49	del	_	_	
21-50	af	_	_	
21-51	innovationen	_	_	
21-52	og	_	_	
21-53	fornyelsen	_	_	
21-54	i	_	_	
21-55	samfundet	_	_	
21-56	.	_	_	

#id=22
#text= "Æresdrab, begravelse af kvinder levende, offentlig piskning af 17-årige piger, selvmordsbombere og  på toppen af det hele uduelige ledere.
22-1	"	_	_	
22-2	Æresdrab	_	_	
22-3	,	_	_	
22-4	begravelse	_	_	
22-5	af	_	_	
22-6	kvinder	_	_	
22-7	levende	_	_	
22-8	,	_	_	
22-9	offentlig	_	_	
22-10	piskning	_	_	
22-11	af	_	_	
22-12	17	_	_	
22-13	-	_	_	
22-14	årige	_	_	
22-15	piger	_	_	
22-16	,	_	_	
22-17	selvmordsbombere	_	_	
22-18	og	_	_	
22-19	på	_	_	
22-20	toppen	_	_	
22-21	af	_	_	
22-22	det	_	_	
22-23	hele	_	_	
22-24	uduelige	_	_	
22-25	ledere	_	_	
22-26	.	_	_	

#id=23
#text=Med top 10-placeringer i såvel Flandern Rundt som Paris-Roubaix har Matti Breschel sørget for at placere Danmark på den nyetablerede verdensrangliste, der bl.
23-1	Med	_	_	
23-2	top	_	_	
23-3	10	_	_	
23-4	-	_	_	
23-5	placeringer	_	_	
23-6	i	_	_	
23-7	såvel	_	_	
23-8	Flandern	_	_	
23-9	Rundt	_	_	
23-10	som	_	_	
23-11	Paris	_	_	
23-12	-	_	_	
23-13	Roubaix	_	_	
23-14	har	_	_	
23-15	Matti	_	_	
23-16	Breschel	_	_	
23-17	sørget	_	_	
23-18	for	_	_	
23-19	at	_	_	
23-20	placere	_	_	
23-21	Danmark	_	_	
23-22	på	_	_	
23-23	den	_	_	
23-24	nyetablerede	_	_	
23-25	verdensrangliste	_	_	
23-26	,	_	_	
23-27	der	_	_	
23-28	bl	_	_	
23-29	.	_	_	

#id=24
#text= Pladens version af ' Min gåsemor' ligger derimod helt i top.
24-1	Pladens	_	_	
24-2	version	_	_	
24-3	af	_	_	
24-4	'	_	_	
24-5	Min	_	_	
24-6	gåsemor	_	_	
24-7	'	_	_	
24-8	ligger	_	_	
24-9	derimod	_	_	
24-10	helt	_	_	
24-11	i	_	_	
24-12	top	_	_	
24-13	.	_	_	

#id=25
#text= Han sparkede også sig til tops blandt målskytterne i superligaen, idet han med sine to pletskud mod AGF nåede op på 11 mål.
25-1	Han	_	_	
25-2	sparkede	_	_	
25-3	også	_	_	
25-4	sig	_	_	
25-5	til	_	_	
25-6	tops	_	_	
25-7	blandt	_	_	
25-8	målskytterne	_	_	
25-9	i	_	_	
25-10	superligaen	_	_	
25-11	,	_	_	
25-12	idet	_	_	
25-13	han	_	_	
25-14	med	_	_	
25-15	sine	_	_	
25-16	to	_	_	
25-17	pletskud	_	_	
25-18	mod	_	_	
25-19	AGF	_	_	
25-20	nåede	_	_	
25-21	op	_	_	
25-22	på	_	_	
25-23	11	_	_	
25-24	mål	_	_	
25-25	.	_	_	

#id=26
#text= Vilde scorer, som understreger, at der var kolossal forskel på top og bund i årets landsholdsklasse.
26-1	Vilde	_	_	
26-2	scorer	_	_	
26-3	,	_	_	
26-4	som	_	_	
26-5	understreger	_	_	
26-6	,	_	_	
26-7	at	_	_	
26-8	der	_	_	
26-9	var	_	_	
26-10	kolossal	_	_	
26-11	forskel	_	_	
26-12	på	_	_	
26-13	top	_	_	
26-14	og	_	_	
26-15	bund	_	_	
26-16	i	_	_	
26-17	årets	_	_	
26-18	landsholdsklasse	_	_	
26-19	.	_	_	

#id=27
#text=Dermed bliver den 34-årige Søs Marie Serup den første kvinde i toppen af hierarkiet blandt de magtfulde politiske presse-og kommunikationsrådgivere på Christiansborg - de såkaldte spindoktorer.
27-1	Dermed	_	_	
27-2	bliver	_	_	
27-3	den	_	_	
27-4	34	_	_	
27-5	-	_	_	
27-6	årige	_	_	
27-7	Søs	_	_	
27-8	Marie	_	_	
27-9	Serup	_	_	
27-10	den	_	_	
27-11	første	_	_	
27-12	kvinde	_	_	
27-13	i	_	_	
27-14	toppen	_	_	
27-15	af	_	_	
27-16	hierarkiet	_	_	
27-17	blandt	_	_	
27-18	de	_	_	
27-19	magtfulde	_	_	
27-20	politiske	_	_	
27-21	presse	_	_	
27-22	-	_	_	
27-23	og	_	_	
27-24	kommunikationsrådgivere	_	_	
27-25	på	_	_	
27-26	Christiansborg	_	_	
27-27	-	_	_	
27-28	de	_	_	
27-29	såkaldte	_	_	
27-30	spindoktorer	_	_	
27-31	.	_	_	

#id=28
#text= april stod, at Søs Marie Sterup "bliver den første kvinde i toppen af hierarkiet blandt de magtfulde politiske presse-og kommunikationsrådgivere på Christiansborg".
28-1	april	_	_	
28-2	stod	_	_	
28-3	,	_	_	
28-4	at	_	_	
28-5	Søs	_	_	
28-6	Marie	_	_	
28-7	Sterup	_	_	
28-8	"	_	_	
28-9	bliver	_	_	
28-10	den	_	_	
28-11	første	_	_	
28-12	kvinde	_	_	
28-13	i	_	_	
28-14	toppen	_	_	
28-15	af	_	_	
28-16	hierarkiet	_	_	
28-17	blandt	_	_	
28-18	de	_	_	
28-19	magtfulde	_	_	
28-20	politiske	_	_	
28-21	presse	_	_	
28-22	-	_	_	
28-23	og	_	_	
28-24	kommunikationsrådgivere	_	_	
28-25	på	_	_	
28-26	Christiansborg	_	_	
28-27	"	_	_	
28-28	.	_	_	

#id=29
#text= Læg frugten tilbage i skallen, kom 1 tsk. rejefyld på toppen, og pynt med koriander og forårsløg.
29-1	Læg	_	_	
29-2	frugten	_	_	
29-3	tilbage	_	_	
29-4	i	_	_	
29-5	skallen	_	_	
29-6	,	_	_	
29-7	kom	_	_	
29-8	1	_	_	
29-9	tsk	_	_	
29-10	.	_	_	
29-11	rejefyld	_	_	
29-12	på	_	_	
29-13	toppen	_	_	
29-14	,	_	_	
29-15	og	_	_	
29-16	pynt	_	_	
29-17	med	_	_	
29-18	koriander	_	_	
29-19	og	_	_	
29-20	forårsløg	_	_	
29-21	.	_	_	

#id=30
#text= Statuen er placeret foran Revolutionsmuseet midt i Pyongyang med direkte udsigt tværs over floden Taedong til monumentet for Koreas Arbejderparti og det 170 meter høje Juchétårn med faklen på toppen.
30-1	Statuen	_	_	
30-2	er	_	_	
30-3	placeret	_	_	
30-4	foran	_	_	
30-5	Revolutionsmuseet	_	_	
30-6	midt	_	_	
30-7	i	_	_	
30-8	Pyongyang	_	_	
30-9	med	_	_	
30-10	direkte	_	_	
30-11	udsigt	_	_	
30-12	tværs	_	_	
30-13	over	_	_	
30-14	floden	_	_	
30-15	Taedong	_	_	
30-16	til	_	_	
30-17	monumentet	_	_	
30-18	for	_	_	
30-19	Koreas	_	_	
30-20	Arbejderparti	_	_	
30-21	og	_	_	
30-22	det	_	_	
30-23	170	_	_	
30-24	meter	_	_	
30-25	høje	_	_	
30-26	Juchétårn	_	_	
30-27	med	_	_	
30-28	faklen	_	_	
30-29	på	_	_	
30-30	toppen	_	_	
30-31	.	_	_	

#id=31
#text=Om Kim Jong-Il oplyser sovjetiske arkiver, at han blev født nær Khabarovsk i Sibirien i 1941, men ifølge den nordkoreanske version er han født på toppen af det hellige bjerg Paekdu helt mod nord.
31-1	Om	_	_	
31-2	Kim	_	_	
31-3	Jong	_	_	
31-4	-	_	_	
31-5	Il	_	_	
31-6	oplyser	_	_	
31-7	sovjetiske	_	_	
31-8	arkiver	_	_	
31-9	,	_	_	
31-10	at	_	_	
31-11	han	_	_	
31-12	blev	_	_	
31-13	født	_	_	
31-14	nær	_	_	
31-15	Khabarovsk	_	_	
31-16	i	_	_	
31-17	Sibirien	_	_	
31-18	i	_	_	
31-19	1941	_	_	
31-20	,	_	_	
31-21	men	_	_	
31-22	ifølge	_	_	
31-23	den	_	_	
31-24	nordkoreanske	_	_	
31-25	version	_	_	
31-26	er	_	_	
31-27	han	_	_	
31-28	født	_	_	
31-29	på	_	_	
31-30	toppen	_	_	
31-31	af	_	_	
31-32	det	_	_	
31-33	hellige	_	_	
31-34	bjerg	_	_	
31-35	Paekdu	_	_	
31-36	helt	_	_	
31-37	mod	_	_	
31-38	nord	_	_	
31-39	.	_	_	

#id=32
#text= Lidt senere, da betjentene er væk, er de dog på toppen igen, og Politikens udsendte bliver inviteret med indenfor.
32-1	Lidt	_	_	
32-2	senere	_	_	
32-3	,	_	_	
32-4	da	_	_	
32-5	betjentene	_	_	
32-6	er	_	_	
32-7	væk	_	_	
32-8	,	_	_	
32-9	er	_	_	
32-10	de	_	_	
32-11	dog	_	_	
32-12	på	_	_	
32-13	toppen	_	_	
32-14	igen	_	_	
32-15	,	_	_	
32-16	og	_	_	
32-17	Politikens	_	_	
32-18	udsendte	_	_	
32-19	bliver	_	_	
32-20	inviteret	_	_	
32-21	med	_	_	
32-22	indenfor	_	_	
32-23	.	_	_	

#id=33
#text=Og selv om man også her rammes af sommertørke, er det ikke mindst klimaet, der gang på gang skaffer Nantes op på toppen af listerne over Frankrigs og Europas bedste byer.
33-1	Og	_	_	
33-2	selv	_	_	
33-3	om	_	_	
33-4	man	_	_	
33-5	også	_	_	
33-6	her	_	_	
33-7	rammes	_	_	
33-8	af	_	_	
33-9	sommertørke	_	_	
33-10	,	_	_	
33-11	er	_	_	
33-12	det	_	_	
33-13	ikke	_	_	
33-14	mindst	_	_	
33-15	klimaet	_	_	
33-16	,	_	_	
33-17	der	_	_	
33-18	gang	_	_	
33-19	på	_	_	
33-20	gang	_	_	
33-21	skaffer	_	_	
33-22	Nantes	_	_	
33-23	op	_	_	
33-24	på	_	_	
33-25	toppen	_	_	
33-26	af	_	_	
33-27	listerne	_	_	
33-28	over	_	_	
33-29	Frankrigs	_	_	
33-30	og	_	_	
33-31	Europas	_	_	
33-32	bedste	_	_	
33-33	byer	_	_	
33-34	.	_	_	

#id=34
#text=For tre år siden, da Alan Ayckbourn var på toppen af sin popularitet, blev han ramt af en hjerneblødning, der har svækket ham fysisk, men ikke har berørt hans åndelige energi, for han skriver stadig, men har besluttet sig for at opgive Stephen Joseph Theatre i Scarborough, som han har ledet og gjort til et arnested for sin egen dramatik og sit eget ensemble.
34-1	For	_	_	
34-2	tre	_	_	
34-3	år	_	_	
34-4	siden	_	_	
34-5	,	_	_	
34-6	da	_	_	
34-7	Alan	_	_	
34-8	Ayckbourn	_	_	
34-9	var	_	_	
34-10	på	_	_	
34-11	toppen	_	_	
34-12	af	_	_	
34-13	sin	_	_	
34-14	popularitet	_	_	
34-15	,	_	_	
34-16	blev	_	_	
34-17	han	_	_	
34-18	ramt	_	_	
34-19	af	_	_	
34-20	en	_	_	
34-21	hjerneblødning	_	_	
34-22	,	_	_	
34-23	der	_	_	
34-24	har	have	VF:----:sa:----	
34-25	svækket	_	_	
34-26	ham	_	_	
34-27	fysisk	_	_	
34-28	,	_	_	
34-29	men	_	_	
34-30	ikke	_	_	
34-31	har	_	_	
34-32	berørt	_	_	
34-33	hans	_	_	
34-34	åndelige	_	_	
34-35	energi	_	_	
34-36	,	_	_	
34-37	for	_	_	
34-38	han	_	_	
34-39	skriver	_	_	
34-40	stadig	_	_	
34-41	,	_	_	
34-42	men	_	_	
34-43	har	_	_	
34-44	besluttet	_	_	
34-45	sig	_	_	
34-46	for	_	_	
34-47	at	_	_	
34-48	opgive	_	_	
34-49	Stephen	_	_	
34-50	Joseph	_	_	
34-51	Theatre	_	_	
34-52	i	_	_	
34-53	Scarborough	_	_	
34-54	,	_	_	
34-55	som	_	_	
34-56	han	_	_	
34-57	har	_	_	
