 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text= Det var tilladt at slå fangerne i ansigtet eller maven.
5-20	akkompagnement	akkompagnement	NC:siun:--:----	
5-21	af	af	T-:----:--:----	
5-22	den	den	PM:s-uc:--:----	
5-23	tyske	tysk	AC:sdu#:--:p---	
5-24	dirigent	dirigent	NC:siuc:--:----	
5-25	Christoph	Christoph	NP:siu#:--:----	
5-26	Poppen	pop	NC:sduc:--:----	
5-27	og	og	CC:----:--:----	
5-28	DR	DR	NP:siu#:--:----	
5-29	SymfoniOrkestret	symfoniorkester	NC:sdun:--:----	
5-30	,	,	ZD	
5-31	vendte	vende	VF:----:ta:----	
5-32	hun	hun	PP:s-nc:--:-3n-	
5-33	sig	sig	PP:#-u#:--:-3y-	
5-34	om	om	T-:----:--:----	
5-35	-	-	NC:piu#:--:----	
5-36	og	og	CC:----:--:----	
5-37	gentog	gentage	VF:----:ta:----	
5-38	den	den	PM:s-uc:--:----	
5-39	tredje	tre	LO:--u#:--:----	
5-40	af	af	T-:----:--:----	
5-41	sangene	sang	NC:pdu#:--:----	
5-42	med	med	T-:----:--:----	
5-43	ansigtet	ansigt	NC:sdun:--:----	
5-44	vendt	vende	VT:siu#:t-:----	
5-45	mod	mod	T-:----:--:----	
5-46	den	den	PM:s-uc:--:----	
5-47	del	del	NC:siuc:--:----	
5-48	af	af	T-:----:--:----	
5-49	publikum	publikum	NC:siun:--:----	
5-50	,	,	ZD	
5-51	der	der	US:----:--:----	
5-52	sad	sidde	VF:----:ta:----	
5-53	på	på	T-:----:--:----	
5-54	de	den	PM:p-u#:--:----	
5-55	billige	billig	AC:p#u#:--:p---	
5-56	pladser	plads	NC:piu#:--:----	
5-57	bag	bag	T-:----:--:----	
5-58	orkestret	orkester	NC:sdun:--:----	
5-59	.	.	ZP	

#id=6
#text= Man kan faktisk tegne vrede, det er et ansigt, der ser sådan ud - og derfra er det muligt at sætte ord på vredens styrke.
6-1	Man	man	PI:#-uc:--:----	
6-2	kan	kunne	VF:----:sa:----	
6-3	faktisk	faktisk	AD:----:--:p---	
6-4	tegne	tegne	VI:----:-a:----	
6-5	vrede	vrede	NC:siuc:--:----	
6-6	,	,	ZD	
6-7	det	det	PP:s-un:--:-3n-	
6-8	er	være	VF:----:sa:----	
6-9	et	en	PI:s-un:--:----	
6-10	ansigt	ansigt	NC:siun:--:----	
6-11	,	,	ZD	
6-12	der	der	US:----:--:----	
6-13	ser	se	VF:----:sa:----	
6-14	sådan	sådan	AC:siuc:--:p---	
6-15	ud	ud	DW:----:--:----	
6-16	-	-	ZH	
6-17	og	og	CC:----:--:----	
6-18	derfra	derfra	D-:----:--:u---	
6-19	er	være	VF:----:sa:----	
6-20	det	det	PP:s-un:--:-3n-	
6-21	muligt	mulig	AC:siun:--:p---	
6-22	at	at	UI:----:--:----	
6-23	sætte	sætte	VI:----:-a:----	
6-24	ord	ord	NC:siun:--:----	
6-25	på	på	T-:----:--:----	
6-26	vredens	vrede	NP:sig#:--:----	
6-27	styrke	styrke	NC:siuc:--:----	
6-28	.	.	ZP	

#id=7
#text= Men i praksis opstår hurtigt det problem, at man selv med bedste vilje og assistance fra velmenende kommentatorer, ikke orker at sætte sig ind i den pågældende sportsgrens regler, hvorfor nydelsen forringes i en sådan grad, at man ender med at opgive og brutalt slukke for husalteret, så kun den lille røde, energifortærende standbydiode stirrer tilbage på éns skuffede ansigt.
7-1	Men	men	CC:----:--:----	
7-2	i	i	T-:----:--:----	
7-3	praksis	praksis	NC:piu#:--:----	
7-4	opstår	opstå	VF:----:sa:----	
7-5	hurtigt	hurtig	AD:----:--:p---	
7-6	det	den	PM:s-un:--:----	
7-7	problem	problem	NC:siun:--:----	
7-8	,	,	ZD	
7-9	at	at	CS:----:--:----	
7-10	man	man	PI:#-uc:--:----	
7-11	selv	selv	PM:#-u#:--:----	
7-12	med	med	T-:----:--:----	
7-13	bedste	god	AC:§du§:--:s---	
7-14	vilje	vilje	NC:siuc:--:----	
7-15	og	og	CC:----:--:----	
7-16	assistance	assistance	NC:siuc:--:----	
7-17	fra	fra	T-:----:--:----	
7-18	velmenende	velmenende	AC:§§u§:--:p---	
7-19	kommentatorer	kommentator	NC:piu#:--:----	
7-20	,	,	ZD	
7-21	ikke	ikke	D-:----:--:u---	
7-22	orker	orke	VF:----:sa:----	
7-23	at	at	UI:----:--:----	
7-24	sætte	sætte	VI:----:-a:----	
7-25	sig	sig	PP:#-u#:--:-3y-	
7-26	ind	ind	D-:----:--:u---	
7-27	i	i	T-:----:--:----	
7-28	den	den	PM:s-uc:--:----	
7-29	pågældende	pågældende	AC:§§u§:--:p---	
7-30	sportsgrens	sportsgren	NC:sigc:--:----	
7-31	regler	regel	NC:piu#:--:----	
7-32	,	,	ZD	
7-33	hvorfor	hvorfor	D-:----:--:u---	
7-34	nydelsen	nydelse	NC:sduc:--:----	
7-35	forringes	forringe	VF:----:sp:----	
7-36	i	i	T-:----:--:----	
7-37	en	en	PI:s-uc:--:----	
7-38	sådan	sådan	AC:siuc:--:p---	
7-39	grad	grad	NC:siuc:--:----	
7-40	,	,	ZD	
7-41	at	at	CS:----:--:----	
7-42	man	man	PI:#-uc:--:----	
7-43	ender	ende	VF:----:sa:----	
7-44	med	med	T-:----:--:----	
7-45	at	at	UI:----:--:----	
7-46	opgive	opgive	VI:----:-a:----	
7-47	og	og	CC:----:--:----	
7-48	brutalt	brutal	AD:----:--:p---	
7-49	slukke	slukke	VI:----:-a:----	
7-50	for	for	T-:----:--:----	
7-51	husalteret	husalter	NC:sdun:--:----	
7-52	,	,	ZD	
7-53	så	så	D-:----:--:u---	
7-54	kun	kun	D-:----:--:u---	
7-55	den	den	PM:s-uc:--:----	
7-56	lille	lille	AC:s§u§:--:p---	
7-57	røde	rød	AC:sdu#:--:p---	
7-58	,	,	ZD	
7-59	energifortærende	energifortære	VP:##u#:s-:----	
7-60	standbydiode	standbydiode	NC:siuc:--:----	
7-61	stirrer	stirre	VF:----:sa:----	
7-62	tilbage	tilbage	D-:----:--:u---	
7-63	på	på	T-:----:--:----	
7-64	éns	éns	XY:----:--:----	
7-65	skuffede	skuffe	VP:sdu#:t-:----	
7-66	ansigt	ansigt	NC:siun:--:----	
7-67	.	.	ZP	

#id=8
#text= Eastwood inkarnerer ham så naturligt og overbevisende, med et minimum af udvendige virkemidler ud over sit furede, udtryksfulde ansigt, lange lemmer og elegante bevægelser, at det er en fornøjelse at se på.
8-1	Eastwood	Eastwood	NP:siu#:--:----	
8-2	inkarnerer	inkarnere	VF:----:sa:----	
8-3	ham	han	PP:s-uc:--:-3n-	
8-4	så	så	D-:----:--:u---	
8-5	naturligt	naturlig	AD:----:--:p---	
8-6	og	og	CC:----:--:----	
8-7	overbevisende	overbevise	VP:##u#:s-:----	
8-8	,	,	ZD	
8-9	med	med	T-:----:--:----	
8-10	et	en	PI:s-un:--:----	
8-11	minimum	minimum	NC:siun:--:----	
8-12	af	af	T-:----:--:----	
8-13	udvendige	udvendig	AC:p#u#:--:p---	
8-14	virkemidler	virkemiddel	NC:piu#:--:----	
8-15	ud	ud	D-:----:--:u---	
8-16	over	over	T-:----:--:----	
8-17	sit	sin	PO:s--n:--:-3ys	
8-18	furede	furet	AC:sdu#:--:p---	
8-19	,	,	ZD	
8-20	udtryksfulde	udtryksfuld	AC:sdu#:--:p---	
8-21	ansigt	ansigt	NC:siun:--:----	
8-22	,	,	ZD	
8-23	lange	lang	AC:p#u#:--:p---	
8-24	lemmer	lem	NC:piu#:--:----	
8-25	og	og	CC:----:--:----	
8-26	elegante	elegant	AC:p#u#:--:p---	
8-27	bevægelser	bevægelse	NC:piu#:--:----	
8-28	,	,	ZD	
8-29	at	at	CS:----:--:----	
8-30	det	det	PP:s-un:--:-3n-	
8-31	er	være	VF:----:sa:----	
8-32	en	en	PI:s-uc:--:----	
8-33	fornøjelse	fornøjelse	NC:siuc:--:----	
8-34	at	at	UI:----:--:----	
8-35	se	se	VI:----:-a:----	
8-36	på	på	T-:----:--:----	
8-37	.	.	ZP	

#id=9
#text= Lang kameraholdning på Malmros' ansigt... du siger nej... men vi prøver.
9-1	Lang	Lang	NP:siu#:--:----	
9-2	kameraholdning	kameraholdning	NC:siuc:--:----	
9-3	på	på	T-:----:--:----	
9-4	Malmros	Malmros	NP:sig#:--:----	
9-5	'	'	ZA	
9-6	ansigt	ansigt	NC:siun:--:----	
9-7	.	.	ZP	
9-8	.	.	ZP	
9-9	.	.	ZP	
9-10	du	du	PP:s-nc:--:-2n-	
9-11	siger	sige	VF:----:sa:----	
9-12	nej	nej	NC:siun:--:----	
9-13	.	.	ZP	
9-14	.	.	ZP	
9-15	.	.	ZP	
9-16	men	men	CC:----:--:----	
9-17	vi	vi	PP:p-nc:--:-1n-	
9-18	prøver	prøve	VF:----:sa:----	
9-19	.	.	ZP	

#id=10
#text=Hvorfor ville hun ikke vise sit ansigt?
10-1	Hvorfor	hvorfor	D-:----:--:u---	
10-2	ville	ville	VF:----:ta:----	
10-3	hun	hun	PP:s-nc:--:-3n-	
10-4	ikke	ikke	D-:----:--:u---	
10-5	vise	vise	VI:----:-a:----	
10-6	sit	sin	PO:s--n:--:-3ys	
10-7	ansigt	ansigt	NC:siun:--:----	
10-8	?	?	ZQ	

#id=11
#text=Begge de tiltalte, den 61-årige mand og en 43-årig kvinde, bedyrer deres uskyld og har siddet skulder ved skulder og lyttet med udtryksløse ansigter til de forskellige vidner, blandt andet arvingerne til den tidligere ejer af maleriet, nu afdøde Grethe Meyer.
11-1	Begge	begge	PM:p-u#:--:----	
11-2	de	den	PM:p-u#:--:----	
11-3	tiltalte	tiltale	VP:p#u#:t-:----	
11-4	,	,	ZD	
11-5	den	den	PM:s-uc:--:----	
11-6	61	61	LW:----:--:----	
11-7	-	-	ZH	
11-8	årige	årig	AC:sdu#:--:p---	
11-9	mand	mand	NC:siuc:--:----	
11-10	og	og	CC:----:--:----	
11-11	en	en	PI:s-uc:--:----	
11-12	43	43	LW:----:--:----	
11-13	-	-	ZH	
11-14	årig	årig	AC:siuc:--:p---	
11-15	kvinde	kvinde	NC:siuc:--:----	
11-16	,	,	ZD	
11-17	bedyrer	bedyre	VF:----:sa:----	
11-18	deres	deres	PO:#--#:--:-3np	
11-19	uskyld	uskyld	NC:siuc:--:----	
11-20	og	og	CC:----:--:----	
11-21	har	have	VF:----:sa:----	
11-22	siddet	sidde	:----	
11-23	skulder	skulder	NC:siuc:--:----	
11-24	ved	ved	T-:----:--:----	
11-25	skulder	skulder	NC:siuc:--:----	
11-26	og	og	CC:----:--:----	
11-27	lyttet	lytte	VT:siu#:t-:----	
11-28	med	med	T-:----:--:----	
11-29	udtryksløse	udtryksløs	AC:p#u#:--:p---	
11-30	ansigter	ansigt	NC:piu#:--:----	
11-31	til	til	T-:----:--:----	
11-32	de	den	PM:p-u#:--:----	
11-33	forskellige	forskellig	AC:p#u#:--:p---	
11-34	vidner	vidne	NC:piu#:--:----	
11-35	,	,	ZD	
11-36	blandt	blandt	T-:----:--:----	
11-37	andet	andet	XY:----:--:----	
11-38	arvingerne	arving	NC:pdu#:--:----	
11-39	til	til	T-:----:--:----	
11-40	den	den	PM:s-uc:--:----	
11-41	tidligere	tidlig	AC:##u#:--:c---	
11-42	ejer	ejer	NC:siuc:--:----	
11-43	af	af	T-:----:--:----	
11-44	maleriet	maleri	NC:sdun:--:----	
11-45	,	,	ZD	
11-46	nu	nu	D-:----:--:u---	
11-47	afdøde	afdød	AC:sdu#:--:p---	
11-48	Grethe	Grethe	NP:siu#:--:----	
11-49	Meyer	Meyer	NP:siu#:--:----	
11-50	.	.	ZP	

#id=12
#text= film om den rødhårede dronning med det hvide ansigt, som regerede i den engelske renæssance, slog den spanske armada og drak dus med både Francis Bacon, Walter Raleigh og Shakespeare.
12-1	film	film	NC:siuc:--:----	
12-2	om	om	T-:----:--:----	
12-3	den	den	PM:s-uc:--:----	
12-4	rødhårede	rødhåret	AC:sdu#:--:p---	
12-5	dronning	dronning	NC:siuc:--:----	
12-6	med	med	T-:----:--:----	
12-7	det	den	PM:s-un:--:----	
12-8	hvide	hvid	AC:sdu#:--:p---	
12-9	ansigt	ansigt	NC:siun:--:----	
12-10	,	,	ZD	
12-11	som	som	US:----:--:----	
12-12	regerede	regere	VF:----:ta:----	
12-13	i	i	T-:----:--:----	
12-14	den	den	PM:s-uc:--:----	
12-15	engelske	engelsk	AC:sdu#:--:p---	
12-16	renæssance	renæssance	NC:siuc:--:----	
12-17	,	,	ZD	
12-18	slog	slå	VF:----:ta:----	
12-19	den	den	PM:s-uc:--:----	
12-20	spanske	spansk	AC:sdu#:--:p---	
12-21	armada	armada	NC:siuc:--:----	
12-22	og	og	CC:----:--:----	
12-23	drak	drikke	VF:----:ta:----	
12-24	dus	dus	D-:----:--:u---	
12-25	med	med	T-:----:--:----	
12-26	både	både	D-:----:--:u---	
12-27	Francis	Francis	NP:sig#:--:----	
12-28	Bacon	bacon	NC:siun:--:----	
12-29	,	,	ZD	
12-30	Walter	Walter	NP:siu#:--:----	
12-31	Raleigh	Raleigh	NP:siu#:--:----	
12-32	og	og	CC:----:--:----	
12-33	Shakespeare	Shakespeare	NP:siu#:--:----	
12-34	.	.	ZP	

#id=13
#text= Det er ikke afvisningen af en muslimsk kvinde med tildækket ansigt, der har ført til, at en buschauffør fra Odense i dag er blevet fyret.
13-1	Det	det	PP:s-un:--:-3n-	
13-2	er	være	VF:----:sa:----	
13-3	ikke	ikke	D-:----:--:u---	
13-4	afvisningen	afvisning	NC:sduc:--:----	
13-5	af	af	T-:----:--:----	
13-6	en	en	PI:s-uc:--:----	
13-7	muslimsk	muslimsk	AC:siuc:--:p---	
13-8	kvinde	kvinde	NC:siuc:--:----	
13-9	med	med	T-:----:--:----	
13-10	tildækket	tildække	VT:siu#:t-:----	
13-11	ansigt	ansigt	NC:siun:--:----	
13-12	,	,	ZD	
13-13	der	der	US:----:--:----	
13-14	har	have	VF:----:sa:----	
13-15	ført	føre	VT:siu#:t-:----	
13-16	til	til	T-:----:--:----	
13-17	,	,	ZD	
13-18	at	at	CS:----:--:----	
13-19	en	en	PI:s-uc:--:----	
13-20	buschauffør	buschauffør	NC:siuc:--:----	
13-21	fra	fra	T-:----:--:----	
13-22	Odense	Odense	NP:siu#:--:----	
13-23	i	i	T-:----:--:----	
13-24	dag	dag	NC:siuc:--:----	
13-25	er	være	VF:----:sa:----	
13-26	blevet	blive	VT:siu#:t-:----	
13-27	fyret	fyr	NC:sdun:--:----	
13-28	.	.	ZP	

#id=14
#text= Kvinden ville  køre med bussen med sit månedskort, men da chaufføren ikke kunne se, om kvindens ansigt stemte overens med billedet på abonnementskortet, afviste han at lade hende køre med kortet som billet.
14-1	Kvinden	kvinde	NC:sduc:--:----	
14-2	ville	ville	VF:----:ta:----	
14-3	køre	køre	VI:----:-a:----	
14-4	med	med	T-:----:--:----	
14-5	bussen	bus	NC:sduc:--:----	
14-6	med	med	T-:----:--:----	
14-7	sit	sin	PO:s--n:--:-3ys	
14-8	månedskort	månedskort	NC:siun:--:----	
14-9	,	,	ZD	
14-10	men	men	CC:----:--:----	
14-11	da	da	CS:----:--:----	
14-12	chaufføren	chauffør	NC:sduc:--:----	
14-13	ikke	ikke	D-:----:--:u---	
14-14	kunne	kunne	VF:----:ta:----	
14-15	se	se	VI:----:-a:----	
14-16	,	,	ZD	
14-17	om	om	T-:----:--:----	
14-18	kvindens	kvinde	NC:sdgc:--:----	
14-19	ansigt	ansigt	NC:siun:--:----	
14-20	stemte	stemme	VF:----:ta:----	
14-21	overens	overens	D-:----:--:u---	
14-22	med	med	T-:----:--:----	
14-23	billedet	billede	NC:sdun:--:----	
14-24	på	på	T-:----:--:----	
14-25	abonnementskortet	abonnementskort	NC:sdun:--:----	
14-26	,	,	ZD	
14-27	afviste	afvise	VF:----:ta:----	
14-28	han	han	PP:s-nc:--:-3n-	
14-29	at	at	UI:----:--:----	
14-30	lade	lade	VI:----:-a:----	
14-31	hende	hun	3n-	
14-32	køre	køre	VI:----:-a:----	
14-33	med	med	T-:----:--:----	
14-34	kortet	kort	NC:sdun:--:----	
14-35	som	som	US:----:--:----	
14-36	billet	billet	NC:siuc:--:----	
14-37	.	.	ZP	

#id=15
#text= Tværtimod holder Arriva stadig fast i, at chaufføren blot holdt sig til de gældende regler, da han afviste kvinden, hvis ansigt han ikke kunne identificere.
15-1	Tværtimod	tværtimod	D-:----:--:u---	
15-2	holder	holde	VF:----:sa:----	
15-3	Arriva	Arriva	NP:siu#:--:----	
15-4	stadig	stadig	D-:----:--:u---	
15-5	fast	fast	AD:----:--:p---	
15-6	i	i	T-:----:--:----	
15-7	,	,	ZD	
15-8	at	at	CS:----:--:----	
15-9	chaufføren	chauffør	NC:sduc:--:----	
15-10	blot	blot	D-:----:--:u---	
15-11	holdt	holde	VF:----:ta:----	
15-12	sig	sig	PP:#-u#:--:-3y-	
15-13	til	til	T-:----:--:----	
15-14	de	den	PM:p-u#:--:----	
15-15	gældende	gælde	VP:##u#:s-:----	
15-16	regler	regel	NC:piu#:--:----	
15-17	,	,	ZD	
15-18	da	da	CS:----:--:----	
15-19	han	han	PP:s-nc:--:-3n-	
15-20	afviste	afvise	VF:----:ta:----	
15-21	kvinden	kvinde	NC:sduc:--:----	
15-22	,	,	ZD	
15-23	hvis	hvem	PR:#-g#:--:----	
15-24	ansigt	ansigt	NC:siun:--:----	
15-25	han	han	PP:s-nc:--:-3n-	
15-26	ikke	ikke	D-:----:--:u---	
15-27	kunne	kunne	VF:----:ta:----	
15-28	identificere	identificere	VI:----:-a:----	
15-29	.	.	ZP	

#id=16
#text="Men jeg har glemt min søns ansigt", siger han.
16-1	"	"	ZI	
16-2	Men	men	CC:----:--:----	
16-3	jeg	jeg	PP:s-nc:--:-1n-	
16-4	har	have	VF:----:sa:----	
16-5	glemt	glemt	VT:siu#:t-:----	
16-6	min	min	PO:s--c:--:-1ns	
16-7	søns	søn	NC:sigc:--:----	
16-8	ansigt	ansigt	NC:siun:--:----	
16-9	"	"	ZI	
16-10	,	,	ZD	
16-11	siger	sige	VF:----:sa:----	
16-12	han	han	PP:s-nc:--:-3n-	
16-13	.	.	ZP	

#id=17
#text= Hans fire sønner er nu ni, tretten, nitten og tyve, og den femte søns ansigt kommer han aldrig til at se igen, for han døde for fem år siden på grund af sygdom.
17-1	Hans	hans	PO:#--#:--:-3ns	
17-2	fire	fire	LC:--u-:--:----	
17-3	sønner	søn	NC:piu#:--:----	
17-4	er	være	VF:----:sa:----	
17-5	nu	nu	D-:----:--:u---	
17-6	ni	ni	LC:--u-:--:----	
17-7	,	,	ZD	
17-8	tretten	tretten	LC:--u-:--:----	
17-9	,	,	ZD	
17-10	nitten	nitten	LC:--u-:--:----	
17-11	og	og	CC:----:--:----	
17-12	tyve	tyve	LC:--u-:--:----	
17-13	,	,	ZD	
17-14	og	og	CC:----:--:----	
17-15	den	den	PM:s-uc:--:----	
17-16	femte	femte	XY:----:--:----	
17-17	søns	søn	NC:sigc:--:----	
17-18	ansigt	ansigt	NC:siun:--:----	
17-19	kommer	komme	VF:----:sa:----	
17-20	han	han	PP:s-nc:--:-3n-	
17-21	aldrig	aldrig	D-:----:--:u---	
17-22	til	til	T-:----:--:----	
17-23	at	at	UI:----:--:----	
17-24	se	se	VI:----:-a:----	
17-25	igen	igen	D-:----:--:u---	
17-26	,	,	ZD	
17-27	for	for	CC:----:--:----	
17-28	han	han	PP:s-nc:--:-3n-	
17-29	døde	dø	VF:----:ta:----	
17-30	for	for	T-:----:--:----	
17-31	fem	fem	LC:--u-:--:----	
17-32	år	år	NC:piu#:--:----	
17-33	siden	siden	D-:----:--:u---	
17-34	på	på	T-:----:--:----	
17-35	grund	grund	NC:siuc:--:----	
17-36	af	af	T-:----:--:----	
17-37	sygdom	sygdom	NC:siuc:--:----	
17-38	.	.	ZP	

#id=18
#text=Med bøjede hoveder og triste ansigter trasker den rødklædte række langsomt frem gennem et hav af grønt:
18-1	Med	med	T-:----:--:----	
18-2	bøjede	bøje	VP:p#u#:t-:----	
18-3	hoveder	hoved	NC:piu#:--:----	
18-4	og	og	CC:----:--:----	
18-5	triste	trist	AC:p#u#:--:p---	
18-6	ansigter	ansigt	NC:piu#:--:----	
18-7	trasker	traske	VF:----:sa:----	
18-8	den	den	PM:s-uc:--:----	
18-9	rødklædte	rødklædt	AC:sdu#:--:p---	
18-10	række	række	NC:siuc:--:----	
18-11	langsomt	langsom	AD:----:--:p---	
18-12	frem	frem	D-:----:--:u---	
18-13	gennem	gennem	T-:----:--:----	
18-14	et	en	PI:s-un:--:----	
18-15	hav	hav	NC:siun:--:----	
18-16	af	af	T-:----:--:----	
18-17	grønt	grøn	AC:siun:--:p---	
18-18	:	:	ZP	

#id=19
#text= Stadig med maling i ansigtet og over jakkesættet og bærende en blå mappe sikkert i hånden med papirer i sirlig orden.
19-1	Stadig	stadig	D-:----:--:u---	
19-2	med	med	T-:----:--:----	
19-3	maling	maling	NC:siuc:--:----	
19-4	i	i	T-:----:--:----	
19-5	ansigtet	ansigt	NC:sdun:--:----	
19-6	og	og	CC:----:--:----	
19-7	over	over	T-:----:--:----	
19-8	jakkesættet	jakkesæt	NC:sdun:--:----	
19-9	og	og	CC:----:--:----	
19-10	bærende	bære	VP:##u#:s-:----	
19-11	en	en	PI:s-uc:--:----	
19-12	blå	blå	AC:siuc:--:p---	
19-13	mappe	mappe	NC:siuc:--:----	
19-14	sikkert	sikker	AD:----:--:p---	
19-15	i	i	T-:----:--:----	
19-16	hånden	hånd	NC:sduc:--:----	
19-17	med	med	T-:----:--:----	
19-18	papirer	papir	NC:piu#:--:----	
19-19	i	i	T-:----:--:----	
19-20	sirlig	sirlig	AC:siuc:--:p---	
19-21	orden	orden	NC:siuc:--:----	
19-22	.	.	ZP	

#id=20
#text= En hinde af forladthed, af svigt og forræderi ligger som en usynlig maske over disse børns ansigter.
20-1	En	en	PI:s-uc:--:----	
20-2	hinde	hinde	NC:siuc:--:----	
20-3	af	af	T-:----:--:----	
20-4	forladthed	forladthed	NC:siuc:--:----	
20-5	,	,	ZD	
20-6	af	af	T-:----:--:----	
20-7	svigt	svigt	NC:siun:--:----	
20-8	og	og	CC:----:--:----	
20-9	forræderi	forræderi	NC:siun:--:----	
20-10	ligger	ligge	VF:----:sa:----	
20-11	som	som	US:----:--:----	
20-12	en	en	PI:s-uc:--:----	
20-13	usynlig	usynlig	AC:siuc:--:p---	
20-14	maske	maske	NC:siuc:--:----	
20-15	over	over	T-:----:--:----	
20-16	disse	denne	PM:p-u#:--:----	
20-17	børns	barn	NC:pig#:--:----	
20-18	ansigter	ansigt	:----	
20-19	.	.	ZP	

#id=21
#text= En hinde af forladthed, af svigt og forræderi ligger som en usynlig maske over disse børns ansigter.
21-1	En	en	PI:s-uc:--:----	
21-2	hinde	hinde	NC:siuc:--:----	
21-3	af	af	T-:----:--:----	
21-4	forladthed	forladthed	NC:siuc:--:----	
21-5	,	,	ZD	
21-6	af	af	T-:----:--:----	
21-7	svigt	svigt	NC:siun:--:----	
21-8	og	og	CC:----:--:----	
21-9	forræderi	forræderi	NC:siun:--:----	
21-10	ligger	ligge	VF:----:sa:----	
21-11	som	som	US:----:--:----	
21-12	en	en	PI:s-uc:--:----	
21-13	usynlig	usynlig	AC:siuc:--:p---	
21-14	maske	maske	NC:siuc:--:----	
21-15	over	over	T-:----:--:----	
21-16	disse	denne	PM:p-u#:--:----	
21-17	børns	barn	NC:pig#:--:----	
21-18	ansigter	ansigt	NC:piu#:--:----	
21-19	.	.	ZP	

#id=22
