 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text=De fleste uafhængige økonomer og de økonomiske vismænd, har påpeget, at en af de måder, som vil være ansvarlig en tid, hvor ledigheden stiger så meget, vil være at komme med en indsats, som tager toppen af ledigheden.
1-1	De	den	PM:p-u#:--:----	
#text= Men det, vi med garanti ved kunne tage toppen af ledigheden og skabe fundamentet for fremtidens arbejdspladser og også for fremtidens eksportmuligheder, nemlig energirigtige investeringer, har regeringen undladt, og det er her, vi kan se forskellen mellem den nuværende regering og Dansk Folkeparti og oppositionen, som netop i dag har fremlagt et fælles udspil om, hvordan vi her og nu kunne sætte gang i 10.000 nye klimaarbejdspladser.
4-1	Men	_	_	
4-2	det	_	_	
4-3	,	_	_	
4-4	vi	_	_	
4-5	med	_	_	
4-6	garanti	_	_	
4-7	ved	_	_	
4-8	kunne	_	_	
4-9	tage	_	_	
4-10	toppen	_	_	
4-11	af	_	_	
4-12	ledigheden	_	_	
4-13	og	_	_	
4-14	skabe	_	_	
4-15	fundamentet	_	_	
4-16	for	_	_	
4-17	fremtidens	_	_	
4-18	arbejdspladser	_	_	
4-19	og	_	_	
4-20	også	_	_	
4-21	for	_	_	
4-22	fremtidens	_	_	
4-23	eksportmuligheder	_	_	
4-24	,	_	_	
4-25	nemlig	_	_	
4-26	energirigtige	_	_	
4-27	investeringer	_	_	
4-28	,	_	_	
4-29	har	_	_	
4-30	regeringen	_	_	
4-31	undladt	_	_	
4-32	,	_	_	
4-33	og	_	_	
4-34	det	_	_	
4-35	er	_	_	
4-36	her	_	_	
4-37	,	_	_	
4-38	vi	_	_	
4-39	kan	_	_	
4-40	se	_	_	
4-41	forskellen	_	_	
4-42	mellem	_	_	
4-43	den	_	_	
4-44	nuværende	_	_	
4-45	regering	_	_	
4-46	og	_	_	
4-47	Dansk	_	_	
4-48	Folkeparti	_	_	
4-49	og	_	_	
4-50	oppositionen	_	_	
4-51	,	_	_	
4-52	som	_	_	
4-53	netop	_	_	
4-54	i	_	_	
4-55	dag	_	_	
4-56	har	_	_	
4-57	fremlagt	_	_	
4-58	et	_	_	
4-59	fælles	_	_	
4-60	udspil	_	_	
4-61	om	_	_	
4-62	,	_	_	
4-63	hvordan	_	_	
4-64	vi	_	_	
4-65	her	_	_	
4-66	og	_	_	
4-67	nu	_	_	
4-68	kunne	_	_	
4-69	sætte	_	_	
4-70	gang	_	_	
4-71	i	_	_	
4-72	10	_	_	
4-73	.	_	_	
4-74	000	_	_	
4-75	nye	_	_	
4-76	klimaarbejdspladser	_	_	
4-77	.	_	_	

#id=5
#text=Det vil vi gerne stå ved, og vi vil tage toppen af nogle af de skattelettelser, millionærerne har fået, og lave en omfordeling i samfundet.
5-1	Det	_	_	
5-2	vil	_	_	
5-3	vi	_	_	
5-4	gerne	_	_	
5-5	stå	_	_	
5-6	ved	_	_	
5-7	,	_	_	
5-8	og	_	_	
5-9	vi	_	_	
5-10	vil	_	_	
5-11	tage	_	_	
5-12	toppen	_	_	
5-13	af	_	_	
5-14	nogle	_	_	
5-15	af	_	_	
5-16	de	_	_	
5-17	skattelettelser	_	_	
5-18	,	_	_	
5-19	millionærerne	_	_	
5-20	har	_	_	
5-21	fået	_	_	
5-22	,	_	_	
5-23	og	_	_	
5-24	lave	_	_	
5-25	en	_	_	
5-26	omfordeling	_	_	
5-27	i	_	_	
5-28	samfundet	_	_	
5-29	.	_	_	

#id=6
#text= Man skal være i top fem med hensyn til dansk, matematik, naturfag og engelsk.
6-1	Man	_	_	
6-2	skal	_	_	
6-3	være	_	_	
6-4	i	_	_	
6-5	top	_	_	
6-6	fem	_	_	
6-7	med	_	_	
6-8	hensyn	_	_	
6-9	til	_	_	
6-10	dansk	_	_	
6-11	,	_	_	
6-12	matematik	_	_	
6-13	,	_	_	
6-14	naturfag	_	_	
6-15	og	_	_	
6-16	engelsk	_	_	
6-17	.	_	_	

#id=7
#text=Nu er det jo ikke nogen hemmelighed, at Dansk Folkeparti overhovedet ikke har tillid til kommunerne og også i forhold til folkeskolen har sagt, at man helst så, at det var en statsfolkeskole, sådan at det kunne bestemmes fra toppen, hvordan det skulle være ens alle steder i folkeskolerne.
7-1	Nu	_	_	
7-2	er	_	_	
7-3	det	_	_	
7-4	jo	_	_	
7-5	ikke	_	_	
7-6	nogen	_	_	
7-7	hemmelighed	_	_	
7-8	,	_	_	
7-9	at	_	_	
7-10	Dansk	_	_	
7-11	Folkeparti	_	_	
7-12	overhovedet	_	_	
7-13	ikke	_	_	
7-14	har	_	_	
7-15	tillid	_	_	
7-16	til	_	_	
7-17	kommunerne	_	_	
7-18	og	_	_	
7-19	også	_	_	
7-20	i	_	_	
7-21	forhold	_	_	
7-22	til	_	_	
7-23	folkeskolen	_	_	
7-24	har	_	_	
7-25	sagt	_	_	
7-26	,	_	_	
7-27	at	_	_	
7-28	man	_	_	
7-29	helst	_	_	
7-30	så	_	_	
7-31	,	_	_	
7-32	at	_	_	
7-33	det	_	_	
7-34	var	_	_	
7-35	en	_	_	
7-36	statsfolkeskole	_	_	
7-37	,	_	_	
7-38	sådan	_	_	
7-39	at	_	_	
7-40	det	_	_	
7-41	kunne	_	_	
7-42	bestemmes	_	_	
7-43	fra	_	_	
7-44	toppen	_	_	
7-45	,	_	_	
7-46	hvordan	_	_	
7-47	det	_	_	
7-48	skulle	_	_	
7-49	være	_	_	
7-50	ens	_	_	
7-51	alle	_	_	
7-52	steder	_	_	
7-53	i	_	_	
7-54	folkeskolerne	_	_	
7-55	.	_	_	

#id=8
#text= Det vil sige, at nu har man fra regeringens side skruet lidt ned for ambitionsniveauet, så nu skal vi bare ligge på top fem.
8-1	Det	_	_	
8-2	vil	_	_	
8-3	sige	_	_	
8-4	,	_	_	
8-5	at	_	_	
8-6	nu	_	_	
8-7	har	_	_	
8-8	man	_	_	
8-9	fra	_	_	
8-10	regeringens	_	_	
8-11	side	_	_	
8-12	skruet	_	_	
8-13	lidt	_	_	
8-14	ned	_	_	
8-15	for	_	_	
8-16	ambitionsniveauet	_	_	
8-17	,	_	_	
8-18	så	_	_	
8-19	nu	_	_	
8-20	skal	_	_	
8-21	vi	_	_	
8-22	bare	_	_	
8-23	ligge	_	_	
8-24	på	_	_	
8-25	top	_	NC:siuc:--:----	
8-26	fem	_	_	
8-27	.	_	_	

#id=9
#text=Fru Nanna Westerby fra SF var inde på, at hun var opvokset i et velfærdssamfund og derfor var vant til, at det altid gik fremad, at Danmark lå i toppen osv.
9-1	Fru	_	_	
9-2	Nanna	_	_	
9-3	Westerby	_	_	
9-4	fra	_	_	
9-5	SF	_	_	
9-6	var	_	_	
9-7	inde	_	_	
9-8	på	_	_	
9-9	,	_	_	
9-10	at	_	_	
9-11	hun	_	_	
9-12	var	_	_	
9-13	opvokset	_	_	
9-14	i	_	_	
9-15	et	_	_	
9-16	velfærdssamfund	_	_	
9-17	og	_	_	
9-18	derfor	_	_	
9-19	var	_	_	
9-20	vant	_	_	
9-21	til	_	_	
9-22	,	_	_	
9-23	at	_	_	
9-24	det	_	_	
9-25	altid	_	_	
9-26	gik	_	_	
9-27	fremad	_	_	
9-28	,	_	_	
9-29	at	_	_	
9-30	Danmark	_	_	
9-31	lå	_	_	
9-32	i	_	_	
9-33	toppen	_	_	
9-34	osv	_	_	
9-35	.	_	_	

#id=10
#text= Kan ministeren så løfte sløret for, hvad der skal ske efter 2012,  når globaliseringsforliget udløber, for så er der 8 år til 2020, hvor vi altså skal have et universitet i top ti?
10-1	Kan	_	_	
10-2	ministeren	_	_	
10-3	så	_	_	
10-4	løfte	_	_	
10-5	sløret	_	_	
10-6	for	_	_	
10-7	,	_	_	
10-8	hvad	_	_	
10-9	der	_	_	
10-10	skal	_	_	
10-11	ske	_	_	
10-12	efter	_	_	
10-13	2012	_	_	
10-14	,	_	_	
10-15	når	_	_	
10-16	globaliseringsforliget	_	_	
10-17	udløber	_	_	
10-18	,	_	_	
10-19	for	_	_	
10-20	så	_	_	
10-21	er	_	_	
10-22	der	_	_	
10-23	8	_	_	
10-24	år	_	_	
10-25	til	_	_	
10-26	2020	_	_	
10-27	,	_	_	
10-28	hvor	_	_	
10-29	vi	_	_	
10-30	altså	_	_	
10-31	skal	_	_	
10-32	have	_	_	
10-33	et	_	_	
10-34	universitet	_	_	
10-35	i	_	_	
10-36	top	_	_	
10-37	ti	_	_	
10-38	?	_	_	

#id=11
#text= Det var toppen af mange års stigning.
11-1	Det	_	_	
11-2	var	_	_	
11-3	toppen	_	_	
11-4	af	_	_	
11-5	mange	_	_	
11-6	års	_	_	
11-7	stigning	_	_	
11-8	.	_	_	

#id=12
#text= Vi ligger helt i toppen, når det gælder offentlig økonomisk støtte til den nationale eliteidrætsorganisation.
12-1	Vi	_	_	
12-2	ligger	_	_	
12-3	helt	_	_	
12-4	i	_	_	
12-5	toppen	_	_	
12-6	,	_	_	
12-7	når	_	_	
12-8	det	_	_	
12-9	gælder	_	_	
12-10	offentlig	_	_	
12-11	økonomisk	_	_	
12-12	støtte	_	_	
12-13	til	_	_	
12-14	den	_	_	
12-15	nationale	_	_	
12-16	eliteidrætsorganisation	_	_	
12-17	.	_	_	

#id=13
#text= Det er dem, der, om jeg så må sige, er kommet til tops.
13-1	Det	_	_	
13-2	er	_	_	
13-3	dem	_	_	
13-4	,	_	_	
13-5	der	_	_	
13-6	,	_	_	
13-7	om	_	_	
13-8	jeg	_	_	
13-9	så	_	_	
13-10	må	_	_	
13-11	sige	_	_	
13-12	,	_	_	
13-13	er	_	_	
13-14	kommet	_	_	
13-15	til	_	_	
13-16	tops	_	_	
13-17	.	_	_	

#id=14
#text= Efter at de havde gjort sig klar til at tage en prøve på nogle vilkår, blev det gjort endnu sværere, og bedst som de følte, at de nu var nået op til toppen af bjerget som Sisyfos, så trillede regeringen altså stenen ned igen, og så kunne de starte forfra.
14-1	Efter	_	_	
14-2	at	_	_	
14-3	de	_	_	
14-4	havde	_	_	
14-5	gjort	_	_	
14-6	sig	_	_	
14-7	klar	_	_	
14-8	til	_	_	
14-9	at	_	_	
14-10	tage	_	_	
14-11	en	_	_	
14-12	prøve	_	_	
14-13	på	_	_	
14-14	nogle	_	_	
14-15	vilkår	_	_	
14-16	,	_	_	
14-17	blev	_	_	
14-18	det	_	_	
14-19	gjort	_	_	
14-20	endnu	_	_	
14-21	sværere	_	_	
14-22	,	_	_	
14-23	og	_	_	
14-24	bedst	_	_	
14-25	som	_	_	
14-26	de	_	_	
14-27	følte	_	_	
14-28	,	_	_	
14-29	at	_	_	
14-30	de	_	_	
14-31	nu	_	_	
14-32	var	_	_	
14-33	nået	_	_	
14-34	op	_	_	
14-35	til	_	_	
14-36	toppen	_	_	
14-37	af	_	_	
14-38	bjerget	_	_	
14-39	som	_	_	
14-40	Sisyfos	_	_	
14-41	,	_	_	
14-42	så	_	_	
14-43	trillede	_	_	
14-44	regeringen	_	_	
14-45	altså	_	_	
14-46	stenen	_	_	
14-47	ned	_	_	
14-48	igen	_	_	
14-49	,	_	_	
14-50	og	_	_	
14-51	så	_	_	
14-52	kunne	_	_	
14-53	de	_	_	
14-54	starte	_	_	
14-55	forfra	_	_	
14-56	.	_	_	

#id=15
#text= Jeg mener, at det  er utrolig vigtigt, at vi fokuserer på det, som det egentlig drejer sig om, nemlig at vores børn trives i danske daginstitutioner, og at den pædagogiske faglighed er i top.
15-1	Jeg	_	_	
15-2	mener	_	_	
15-3	,	_	_	
15-4	at	_	_	
15-5	det	_	_	
15-6	er	_	_	
15-7	utrolig	_	_	
15-8	vigtigt	_	_	
15-9	,	_	_	
15-10	at	_	_	
15-11	vi	_	_	
15-12	fokuserer	_	_	
15-13	på	_	_	
15-14	det	_	_	
15-15	,	_	_	
15-16	som	_	_	
15-17	det	_	_	
15-18	egentlig	_	_	
15-19	drejer	_	_	
15-20	sig	_	_	
15-21	om	_	_	
15-22	,	_	_	
15-23	nemlig	_	_	
15-24	at	_	_	
15-25	vores	_	_	
15-26	børn	_	_	
15-27	trives	_	_	
15-28	i	_	_	
15-29	danske	_	_	
15-30	daginstitutioner	_	_	
15-31	,	_	_	
15-32	og	_	_	
15-33	at	_	_	
15-34	den	_	_	
15-35	pædagogiske	_	_	
15-36	faglighed	_	_	
15-37	er	_	_	
15-38	i	_	_	
15-39	top	_	_	
15-40	.	_	_	

#id=16
#text= Men når man spørger brugerne, eksempelvis forældre til børn i daginstitutioner, er brugertilfredsheden helt i top, og det er da tankevækkende, at brugertilfredsheden er helt i top.
16-1	Men	_	_	
16-2	når	_	_	
16-3	man	_	_	
16-4	spørger	_	_	
16-5	brugerne	_	_	
16-6	,	_	_	
16-7	eksempelvis	_	_	
16-8	forældre	_	_	
16-9	til	_	_	
16-10	børn	_	_	
16-11	i	_	_	
16-12	daginstitutioner	_	_	
16-13	,	_	_	
16-14	er	_	_	
16-15	brugertilfredsheden	_	_	
16-16	helt	_	_	
16-17	i	_	_	
16-18	top	_	_	
16-19	,	_	_	
16-20	og	_	_	
16-21	det	_	_	
16-22	er	_	_	
16-23	da	_	_	
16-24	tankevækkende	_	_	
16-25	,	_	_	
16-26	at	_	_	
16-27	brugertilfredsheden	_	_	
16-28	er	_	_	
16-29	helt	_	_	
16-30	i	_	_	
16-31	top	_	_	
16-32	.	_	_	

#id=17
#text= Hvad har regeringen af holdning til det flertal i Folketinget, der er uden om regeringen, for, at vi skal have mere fut i de offentlige investeringer, en fremrykning af offentlige investeringer, således at vi kan få taget toppen af stigningen i arbejdsløsheden?
17-1	Hvad	_	_	
17-2	har	_	_	
17-3	regeringen	_	_	
17-4	af	_	_	
17-5	holdning	_	_	
17-6	til	_	_	
17-7	det	_	_	
17-8	flertal	_	_	
17-9	i	_	_	
17-10	Folketinget	_	_	
17-11	,	_	_	
17-12	der	_	_	
17-13	er	_	_	
17-14	uden	_	_	
17-15	om	_	_	
17-16	regeringen	_	_	
17-17	,	_	_	
17-18	for	_	_	
17-19	,	_	_	
17-20	at	_	_	
17-21	vi	_	_	
17-22	skal	_	_	
17-23	have	_	_	
17-24	mere	_	_	
17-25	fut	_	_	
17-26	i	_	_	
17-27	de	_	_	
17-28	offentlige	_	_	
17-29	investeringer	_	_	
17-30	,	_	_	
17-31	en	_	_	
17-32	fremrykning	_	_	
17-33	af	_	_	
17-34	offentlige	_	_	
17-35	investeringer	_	_	
17-36	,	_	_	
17-37	således	_	_	
17-38	at	_	_	
17-39	vi	_	_	
17-40	kan	_	_	
17-41	få	_	_	
17-42	taget	_	_	
17-43	toppen	_	_	
17-44	af	_	_	
17-45	stigningen	_	_	
17-46	i	_	_	
17-47	arbejdsløsheden	_	_	
17-48	?	_	_	

#id=18
#text=Er statsministeren uenig i det, at de økonomiske vismænd selv har peget på behovet for ret omfattende offentlige investeringer som middel til at sikre, at vi får taget toppen af stigningen i arbejdsløsheden?
18-1	Er	_	_	
18-2	statsministeren	_	_	
18-3	uenig	_	_	
18-4	i	_	_	
18-5	det	_	_	
18-6	,	_	_	
18-7	at	_	_	
18-8	de	_	_	
18-9	økonomiske	_	_	
18-10	vismænd	_	_	
18-11	selv	_	_	
18-12	har	_	_	
18-13	peget	_	_	
18-14	på	_	_	
18-15	behovet	_	_	
18-16	for	_	_	
18-17	ret	_	_	
18-18	omfattende	_	_	
18-19	offentlige	_	_	
18-20	investeringer	_	_	
18-21	som	_	_	
18-22	middel	_	_	
18-23	til	_	_	
18-24	at	_	_	
18-25	sikre	_	_	
18-26	,	_	_	
18-27	at	_	_	
18-28	vi	_	_	
18-29	får	_	_	
18-30	taget	_	_	
18-31	toppen	_	_	
18-32	af	_	_	
18-33	stigningen	_	_	
18-34	i	_	_	
18-35	arbejdsløsheden	_	_	
18-36	?	_	_	

#id=19
#text= Undersøgelser viser da heldigvis også, at tilfredsheden blandt brugerne ligger helt i top for dagtilbudssektoren.
19-1	Undersøgelser	_	_	
19-2	viser	_	_	
19-3	da	_	_	
19-4	heldigvis	_	_	
19-5	også	_	_	
19-6	,	_	_	
19-7	at	_	_	
19-8	tilfredsheden	_	_	
19-9	blandt	_	_	
19-10	brugerne	_	_	
19-11	ligger	_	_	
19-12	helt	_	_	
19-13	i	_	_	
19-14	top	_	_	
19-15	for	_	_	
19-16	dagtilbudssektoren	_	_	
19-17	.	_	_	

#id=20
#text=Når det er sagt, så mener jeg, at vi hellere skulle fokusere på det, det egentlig drejer sig om, nemlig om børnene trives, og om den pædagogiske faglighed er i top.
20-1	Når	_	_	
20-2	det	_	_	
20-3	er	_	_	
20-4	sagt	_	_	
20-5	,	_	_	
20-6	så	_	_	
20-7	mener	_	_	
20-8	jeg	_	_	
20-9	,	_	_	
20-10	at	_	_	
20-11	vi	_	_	
20-12	hellere	_	_	
20-13	skulle	_	_	
20-14	fokusere	_	_	
20-15	på	_	_	
20-16	det	_	_	
20-17	,	_	_	
20-18	det	_	_	
20-19	egentlig	_	_	
20-20	drejer	_	_	
20-21	sig	_	_	
20-22	om	_	_	
20-23	,	_	_	
20-24	nemlig	_	_	
20-25	om	_	_	
20-26	børnene	_	_	
20-27	trives	_	_	
20-28	,	_	_	
20-29	og	_	_	
20-30	om	_	_	
20-31	den	_	_	
20-32	pædagogiske	_	_	
20-33	faglighed	_	_	
20-34	er	_	_	
20-35	i	_	_	
20-36	top	_	_	
20-37	.	_	_	

#id=21
#text= Derfor må vi hele tiden modernisere lovgivningen, så forbrugernes stilling med hensyn til sikkerheden ved produkterne er i top, og derfor hilser Venstre nærværende lovforslag velkommen.
21-1	Derfor	_	_	
21-2	må	_	_	
21-3	vi	_	_	
21-4	hele	_	_	
21-5	tiden	_	_	
21-6	modernisere	_	_	
21-7	lovgivningen	_	_	
21-8	,	_	_	
21-9	så	_	_	
21-10	forbrugernes	_	_	
21-11	stilling	_	_	
21-12	med	_	_	
21-13	hensyn	_	_	
21-14	til	_	_	
21-15	sikkerheden	_	_	
21-16	ved	_	_	
21-17	produkterne	_	_	
21-18	er	_	_	
21-19	i	_	_	
21-20	top	_	_	
21-21	,	_	_	
21-22	og	_	_	
21-23	derfor	_	_	
21-24	hilser	_	_	
21-25	Venstre	_	_	
21-26	nærværende	_	_	
21-27	lovforslag	_	_	
21-28	velkommen	_	_	
21-29	.	_	_	

#id=22
#text=Danmark skal leve af moderne konkurrencedygtige virksomheder og en effektiv offentlig sektor, som kan levere en service, der er i top.
22-1	Danmark	_	_	
22-2	skal	_	_	
22-3	leve	_	_	
22-4	af	_	_	
22-5	moderne	_	_	
22-6	konkurrencedygtige	_	_	
22-7	virksomheder	_	_	
22-8	og	_	_	
22-9	en	_	_	
22-10	effektiv	_	_	
22-11	offentlig	_	_	
22-12	sektor	_	_	
22-13	,	_	_	
22-14	som	_	_	
22-15	kan	_	_	
22-16	levere	_	_	
22-17	en	_	_	
22-18	service	_	_	
22-19	,	_	_	
22-20	der	_	_	
22-21	er	_	_	
22-22	i	_	_	
22-23	top	_	_	
22-24	.	_	_	

#id=23
#text=Indtil vi kommer hen til det punkt, ønsker vi at bruge alle de muligheder, vi har, for at tage toppen af landbrugsstøtten.
23-1	Indtil	_	_	
23-2	vi	_	_	
23-3	kommer	_	_	
23-4	hen	_	_	
23-5	til	_	_	
23-6	det	_	_	
23-7	punkt	_	_	
23-8	,	_	_	
23-9	ønsker	_	_	
23-10	vi	_	_	
23-11	at	_	_	
23-12	bruge	_	_	
23-13	alle	_	_	
23-14	de	_	_	
23-15	muligheder	_	_	
23-16	,	_	_	
23-17	vi	_	_	
23-18	har	_	_	
23-19	,	_	_	
23-20	for	_	_	
23-21	at	_	_	
23-22	tage	_	_	
23-23	toppen	_	_	
23-24	af	_	_	
23-25	landbrugsstøtten	_	_	
23-26	.	_	_	

#id=24
#text= Der er jo ingen grund til at give millionstøtte til milliardærer, og derfor synes vi, det er rimeligt at klippe noget mere oppe i toppen, end man gør.
24-1	Der	_	_	
24-2	er	_	_	
24-3	jo	_	_	
24-4	ingen	_	_	
24-5	grund	_	_	
24-6	til	_	_	
24-7	at	_	_	
24-8	give	_	_	
24-9	millionstøtte	_	_	
24-10	til	_	_	
24-11	milliardærer	_	_	
24-12	,	_	_	
24-13	og	_	_	
24-14	derfor	_	_	
24-15	synes	_	_	
24-16	vi	_	_	
24-17	,	_	_	
24-18	det	_	_	
24-19	er	_	_	
24-20	rimeligt	_	_	
24-21	at	_	_	
24-22	klippe	_	_	
24-23	noget	_	_	
24-24	mere	_	_	
24-25	oppe	_	_	
24-26	i	_	_	
24-27	toppen	_	_	
24-28	,	_	_	
24-29	end	_	_	
24-30	man	_	_	
24-31	gør	_	_	
24-32	.	_	_	

#id=25
#text= De afslutter flere sager end nogen sinde før, og deres produktivitet og effektivitet er fantastisk og helt i top, men der er ingen tvivl om, at der stadig væk er voldsomme problemer hos domstolene med at nå de sager, de skal.
25-1	De	_	_	
25-2	afslutter	_	_	
25-3	flere	_	_	
25-4	sager	_	_	
25-5	end	_	_	
25-6	nogen	_	_	
25-7	sinde	_	_	
25-8	før	_	_	
25-9	,	_	_	
25-10	og	_	_	
25-11	deres	_	_	
25-12	produktivitet	_	_	
25-13	og	_	_	
25-14	effektivitet	_	_	
25-15	er	_	_	
25-16	fantastisk	_	_	
25-17	og	_	_	
25-18	helt	_	_	
25-19	i	_	_	
25-20	top	_	_	
25-21	,	_	_	
25-22	men	_	_	
25-23	der	_	_	
25-24	er	_	_	
25-25	ingen	_	_	
25-26	tvivl	_	_	
25-27	om	_	_	
25-28	,	_	_	
25-29	at	_	_	
25-30	der	_	_	
25-31	stadig	_	_	
25-32	væk	_	_	
25-33	er	_	_	
25-34	voldsomme	_	_	
25-35	problemer	_	_	
25-36	hos	_	_	
25-37	domstolene	_	_	
25-38	med	_	_	
25-39	at	_	_	
25-40	nå	_	_	
25-41	de	_	_	
25-42	sager	_	_	
25-43	,	_	_	
25-44	de	_	_	
25-45	skal	_	_	
25-46	.	_	_	

#id=26
#text=Meget kan man vel beskylde de interesseorganisationer, som det danske landbrug og det danske landbrugs top benytter sig af, men de plejer da at have et formål med de ønsker, de giver udtryk for.
26-1	Meget	_	_	
26-2	kan	_	_	
26-3	man	_	_	
26-4	vel	_	_	
26-5	beskylde	_	_	
26-6	de	_	_	
26-7	interesseorganisationer	_	_	
26-8	,	_	_	
26-9	som	_	_	
26-10	det	_	_	
26-11	danske	_	_	
26-12	landbrug	_	_	
26-13	og	_	_	
26-14	det	_	_	
26-15	danske	_	_	
26-16	landbrugs	_	_	
26-17	top	_	_	
26-18	benytter	_	_	
26-19	sig	_	_	
26-20	af	_	_	
26-21	,	_	_	
26-22	men	_	_	
26-23	de	_	_	
26-24	plejer	_	_	
26-25	da	_	_	
26-26	at	_	_	
26-27	have	_	_	
26-28	et	_	_	
26-29	formål	_	_	
26-30	med	_	_	
26-31	de	_	_	
26-32	ønsker	_	_	
26-33	,	_	_	
26-34	de	_	_	
26-35	giver	_	_	
26-36	udtryk	_	_	
26-37	for	_	_	
26-38	.	_	_	

#id=27
#text= Socialdemokratiet sagde fra starten af, at profilen i toppen var uacceptabelt skæv.
27-1	Socialdemokratiet	_	_	
27-2	sagde	_	_	
27-3	fra	_	_	
27-4	starten	_	_	
27-5	af	_	_	
27-6	,	_	_	
27-7	at	_	_	
27-8	profilen	_	_	
27-9	i	_	_	
27-10	toppen	_	_	
27-11	var	_	_	
27-12	uacceptabelt	_	_	
27-13	skæv	_	_	
27-14	.	_	_	

#id=28
#text= Hvis man havde gjort noget ved alt frynset, alle fradragene og gevinsterne, der lå helt i toppen, så kunne man snakke om en lavere skatteprocent og alligevel et ordentligt bidrag til samfundet.
28-1	Hvis	_	_	
28-2	man	_	_	
28-3	havde	_	_	
28-4	gjort	_	_	
